input	workers	cold_median_ms	primed_median_ms	ratio_of_medians	paired_ratios
multi	1	2.185021	4.106752	1.879502	[1.8476303508370175, 1.8995062596831598, 1.8567084709941004]
multi	4	2.814524	2.742115	0.974273	[0.9660985991130431, 0.9874343268479407, 0.981408579212684]
single_10b	1	1.804755	1.882768	1.043226	[1.031220246612777, 1.0504910638840175, 1.0191475022937704]
single_10b	4	1.630854	1.634515	1.002245	[0.9834375118802786, 0.9753164298534384, 1.012769013332243]
tiled_first	1	4.113087	5.092142	1.238034	[1.2087505210395535, 1.3495212207493295, 1.2054695171777303]
tiled_first	4	1.983026	1.927089	0.971792	[0.9217400898217646, 1.0408073318252005, 1.022219381381614]
tiled_stress	1	12.933326	18.689202	1.445042	[1.4423092714124737, 1.4378219321905303, 1.4608652862589504]
tiled_stress	4	5.518695	5.487003	0.994257	[0.9841603857433687, 1.0088891828566044, 0.9644545860256284]
